publisher_name,donor_code,donornameE,agency_code,crs_agency_name,loc_agency_acronym,agencynameE,total_usd_disbursement,usd_extended_defl,Status
NA,5,Germany,92,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern,Federal State of Mecklenburg-West Pomerania,0.34644377,NA,non-iati
NA,5,Germany,93,Sachsen-Anhalt,Sachsen-Anhalt,Federal State of Saxony-Anhalt,0.26764095,NA,non-iati
NA,5,Germany,94,Sachsen,Sachsen,Federal State of Saxony,0.14986313,NA,non-iati
NA,5,Germany,95,Thingen,Thingen,Federal State of Thuringia,0.10811988,NA,non-iati
GAVI Alliance,1311,Global Alliance for Vaccines and Immunization [GAVI],1,GAVI,NULL,NULL,1414.73055,NA,checked
NA,811,Global Environment Facility [GEF],1,GEF,NULL,NULL,601.1596086,NA,non-iati
NA,811,Global Environment Facility [GEF],11,NULL,NULL,NULL,NULL,NA,non-iati
NA,811,Global Environment Facility [GEF],12,LDCF,NULL,NULL,3.3853476,NA,non-iati
NA,811,Global Environment Facility [GEF],13,SCCF,NULL,NULL,1.11712568,NA,non-iati
NA,1312,Global Fund,1,Global Fund,NULL,NULL,2887.143658,NA,non-iati
NA,1313,Global Green Growth Institute [GGGI],1,NULL,NULL,NULL,15.5247649,NA,non-iati
NA,40,Greece,3,MFA,MFA,Ministry of Foreign Affairs,3.951593568,13.18369096,non-iati
NA,40,Greece,4,MND,MND,Ministry of National Defense,0.492205,0.0184,non-iati
NA,40,Greece,5,MDCS,MDCS,"Ministry of Development, Competitiveness & Shipping",0.0166155,1.754214191,non-iati
NA,40,Greece,6,MEECC,MEECC,"Ministry of the Environment, Energy & Climate Change",0.2530362,0.427763384,non-iati
NA,40,Greece,7,MELLLR,MELLLR,"Ministry of Education, Life Long Learning & Religions",11.59563296,0.00407,non-iati
NA,40,Greece,9,MESS,MESS,Ministry of Employment & Social Security,4.24732846,NA,non-iati
NA,40,Greece,10,MHSS,MHSS,Ministry of Health & Social Solidarity,17.1065241,2.331785123,non-iati
NA,40,Greece,11,MADF,MADF,Ministry of Agricultural Development & Food,0.60405364,2.160119626,non-iati
NA,40,Greece,13,MCP,MCP,Ministry of Citizen Protection,0.105895678,0.0244,non-iati
NA,40,Greece,14,MCT,MCT,Ministry of Culture & Tourism,0.44864,0.016217348,non-iati
NA,40,Greece,99,MISC,MISC,Miscellaneous,7.276033887,0.312451995,non-iati
NA,75,Hungary,1,MNE,NULL,NULL,0.0853435,NA,non-iati
NA,75,Hungary,2,MinTrade,NULL,NULL,2.902601875,NA,non-iati
NA,75,Hungary,3,BIN,NULL,NULL,10.41288659,NA,non-iati
NA,75,Hungary,4,INT,NULL,NULL,0.140177042,NA,non-iati
NA,75,Hungary,5,MCH,NULL,NULL,7.18320105,NA,non-iati
NA,75,Hungary,6,DEF,NULL,NULL,0.06976388,NA,non-iati
NA,75,Hungary,7,AGRI,NULL,NULL,0.38631758,NA,non-iati
NA,75,Hungary,21,NULL,NULL,NULL,6,NA,non-iati
NA,75,Hungary,22,EXIM,NULL,NULL,2.5093871,NA,non-iati
NA,75,Hungary,99,MISC,NULL,NULL,0.40816987,NA,non-iati
NA,20,Iceland,1,MFA,MFA,Ministry of Foreign Affairs,15.98756149,5.926270473,non-iati
NA,20,Iceland,2,ICEIDA,ICEIDA,ICEIDA,13.6652721,NA,non-iati
NA,20,Iceland,3,ICRU,ICRU,ICRU,1.285745,0.130162549,non-iati
NA,912,IDB Special Fund,1,FSO,NULL,NULL,64.048291,NA,non-iati
NA,912,IDB Special Fund,3,FSO-ORC,NULL,NULL,818.624264,NA,non-iati
NA,912,IDB Special Fund,4,ORC,NULL,NULL,770.600089,NA,non-iati
NA,912,IDB Special Fund,5,MIF,NULL,NULL,79.299655,NA,non-iati
NA,912,IDB Special Fund,6,GRF,NULL,NULL,205.821746,NA,non-iati
NA,988,IFAD,1,IFAD,NULL,NULL,NULL,NA,non-iati
NA,958,IMF (Concessional Trust Funds),1,NULL,NULL,NULL,832.08199,NA,non-iati
Inter-American Development Bank,909,Inter-American Development Bank [IDB],1,ORC,NULL,NULL,8774.085239,NA,checked
Inter-American Development Bank,909,Inter-American Development Bank [IDB],5,MIF,NULL,NULL,14.758015,NA,checked
NA,901,International Bank for Reconstruction and Development [IBRD],1,IBRD,NULL,NULL,15858.20922,NA,non-iati
NA,905,International Development Association [IDA],1,IDA,NULL,NULL,13759.27135,NA,non-iati
NA,903,International Finance Corporation [IFC],1,IFC,NULL,NULL,NULL,NA,non-iati
Ireland - Department of Foreign Affairs and Trade,21,Ireland,1,DFA,DFA,Department of Foreign Affairs,513.5612162,124.8582584,checked
NA,21,Ireland,3,DAFM,DAFM,"Department of Agriculture, Food and the Marine",1.8510951,14.27897245,non-iati
