donor_code,donor_name,agency_code,crs_agency_name,loc_agency_acronym,loc_agency_name,total_usd_disbursement,,
302,United States,13,ADF,ADF,African Development Foundation,25.85213,,
302,United States,14,HHS,HHS,Department of Health and Human Services,3362.75481,,
302,United States,15,JUSTICE,JUSTICE,Department of Justice,4.65336,,
302,United States,16,COMMERCE,COMMERCE,Department of Commerce,13.48978,,
302,United States,17,LABOR,LABOR,Department of Labor,67.05426,,
302,United States,18,MCC,MCC,Millennium Challenge Corporation,885.33322,,
302,United States,19,DHS,DHS,Department of Homeland Security,1.75948,,
302,United States,20,DOE,DOE,Department of Energy,60.96769,,
302,United States,21,IADF,IADF,Inter-American Development Foundation,27.09632,,
302,United States,22,OPIC,OPIC,Overseas Private Investment Corporation,251.34201,,
302,United States,23,FTC,FTC,Federal Trade Commission,0.16886,,
302,United States,26,DOT,DOT,Department of Transportation,0.16421,,
302,United States,31,EXIM,EXIM,Export Import Bank,0.98265,,
302,United States,32,EPA,EPA,Environmental Protection Agency,9.307,,
302,United States,99,MISC,MISC,Miscellaneous,NULL,,
964,UNRWA,1,UNRWA,NULL,NULL,680.10063,,
966,WFP,1,WFP,NULL,NULL,308.81258,,
928,World Health Organisation [WHO],1,WHO,NULL,NULL,471.3630034,,
