"","donor_code","donornameE","agency_code","crs_agency_name","loc_agency_acronym","agencynameE","total_usd_disbursement","usd_extended_defl"
"147",40,"Greece",6,"MEECC","MEECC","Ministry of the Environment, Energy & Climate Change","0.2530362",0.427763384
"148",40,"Greece",7,"MELLLR","MELLLR","Ministry of Education, Life Long Learning & Religions","11.59563296",0.00407
"149",40,"Greece",9,"MESS","MESS","Ministry of Employment & Social Security","4.24732846",NA
"150",40,"Greece",10,"MHSS","MHSS","Ministry of Health & Social Solidarity","17.1065241",2.331785123
"151",40,"Greece",11,"MADF","MADF","Ministry of Agricultural Development & Food","0.60405364",2.160119626
"152",40,"Greece",13,"MCP","MCP","Ministry of Citizen Protection","0.105895678",0.0244
"153",40,"Greece",14,"MCT","MCT","Ministry of Culture & Tourism","0.44864",0.016217348
"154",40,"Greece",99,"MISC","MISC","Miscellaneous","7.276033887",0.312451995
"155",75,"Hungary",1,"MNE","NULL","NULL","0.0853435",NA
"156",75,"Hungary",2,"MinTrade","NULL","NULL","2.902601875",NA
"157",75,"Hungary",3,"BIN","NULL","NULL","10.41288659",NA
"158",75,"Hungary",4,"INT","NULL","NULL","0.140177042",NA
"159",75,"Hungary",5,"MCH","NULL","NULL","7.18320105",NA
"160",75,"Hungary",6,"DEF","NULL","NULL","0.06976388",NA
"161",75,"Hungary",7,"AGRI","NULL","NULL","0.38631758",NA
"162",75,"Hungary",21,"NULL","NULL","NULL","6",NA
"163",75,"Hungary",22,"EXIM","NULL","NULL","2.5093871",NA
"164",75,"Hungary",99,"MISC","NULL","NULL","0.40816987",NA
"165",20,"Iceland",1,"MFA","MFA","Ministry of Foreign Affairs","15.98756149",5.926270473
"166",20,"Iceland",2,"ICEIDA","ICEIDA","ICEIDA","13.6652721",NA
"167",20,"Iceland",3,"ICRU","ICRU","ICRU","1.285745",0.130162549
"168",912,"IDB Special Fund",1,"FSO","NULL","NULL","64.048291",NA
"169",912,"IDB Special Fund",3,"FSO-ORC","NULL","NULL","818.624264",NA
"170",912,"IDB Special Fund",4,"ORC","NULL","NULL","770.600089",NA
"171",912,"IDB Special Fund",5,"MIF","NULL","NULL","79.299655",NA
"172",912,"IDB Special Fund",6,"GRF","NULL","NULL","205.821746",NA
"173",988,"IFAD",1,"IFAD","NULL","NULL","NULL",NA
"174",958,"IMF (Concessional Trust Funds)",1,"NULL","NULL","NULL","832.08199",NA
"175",909,"Inter-American Development Bank [IDB]",1,"ORC","NULL","NULL","8774.085239",NA
"176",909,"Inter-American Development Bank [IDB]",5,"MIF","NULL","NULL","14.758015",NA
"177",901,"International Bank for Reconstruction and Development [IBRD]",1,"IBRD","NULL","NULL","15858.20922",NA
"178",905,"International Development Association [IDA]",1,"IDA","NULL","NULL","13759.27135",NA
"179",903,"International Finance Corporation [IFC]",1,"IFC","NULL","NULL","NULL",NA
"180",21,"Ireland",1,"DFA","DFA","Department of Foreign Affairs","513.5612162",124.858258382
"181",21,"Ireland",3,"DAFM","DAFM","Department of Agriculture, Food and the Marine","1.8510951",14.278972449
"182",21,"Ireland",99,"MISC","MISC","Miscellaneous","7.9769676",118.813576827
"183",976,"Islamic Development Bank [IsDB]",1,"IsDB","NULL","NULL","1762.587265",NA
"184",6,"Italy",4,"DGCS","DGCS","Direzione Generale per la Cooperazione allo Sviluppo","365.5444964",116.571918734
"185",6,"Italy",7,"CA","CA","Central administration","989.1389769",2512.009631727
"186",6,"Italy",8,"LA","LA","Local administration","15.91435766",NA
"187",6,"Italy",9,"Art.","Art.","Artigiancassa","75.61297002",NA
"188",6,"Italy",10,"NULL","NULL","NULL","93.41065429",NA
"189",6,"Italy",11,"NULL","NULL","NULL","15.05868864",NA
"190",701,"Japan",1,"MAFF","MAFF","Ministry of Agriculture, Forestry and Fisheries","27.5189352",0.2288909
"191",701,"Japan",2,"MOFA","MOFA","Ministry of Foreign Affairs","2755.511",899.835932114
"192",701,"Japan",8,"JICA","JICA","Japanese International Co-operation Agency","9026.413779",0
"193",701,"Japan",10,"JODC","JODC","Japan Overseas Development Co-operation","NULL",NA
"194",701,"Japan",11,"JBIC","JBIC","Japan Bank for International Co-operation","NULL",NA
"195",701,"Japan",12,"Oth. MIN","Oth. MIN","Other Ministries","637.773685",2571.456941643
"196",701,"Japan",13,"PC","PC","Public Corporations","2.66341659",1.249291107
"197",701,"Japan",14,"PRF","PRF","Prefectures","2.696955765",NA
"198",701,"Japan",15,"ODC","ODC","Ordinance-designed Cities","0.30613866",NA
"199",613,"Kazakhstan",1,"MFA","NULL","NULL","5.2468587",NA
"200",613,"Kazakhstan",2,"GOV","NULL","NULL","4.33612",NA
"201",613,"Kazakhstan",3,"EDUC","NULL","NULL","11",NA
"202",613,"Kazakhstan",4,"NULL","NULL","NULL","6.5",NA
"203",742,"Korea",1,"MOSF","MOSF","Ministry of Strategy and Finance","19.530131",315.43544628
"204",742,"Korea",2,"KEXIM","KEXIM","Export-Import Bank of Korea","7740.907525",NA
"205",742,"Korea",3,"MOFAT","MOFAT","Ministry of Foreign Affairs and Trade","113.435438",67.787993176
"206",742,"Korea",4,"KOICA","KOICA","Korea International Cooperation Agency","551.152917",NA
"207",742,"Korea",99,"MISC","MISC","Miscellaneous","194.078442",57.672968312
"208",552,"Kuwait [KFAED]",1,"KFAED","Kuwait Fund for Arab Economic Development (KFAED)","NULL","366.1675818",NA
"209",552,"Kuwait [KFAED]",2,"NULL","Government Grants administered by KFAED","NULL","183.7523683",NA
"210",84,"Lithuania",1,"GOV","NULL","NULL","0.2242229",NA
"211",84,"Lithuania",2,"MFA","NULL","NULL","4.365380259",NA
"212",84,"Lithuania",3,"DEF","NULL","NULL","0.29071833",NA
"213",84,"Lithuania",4,"ENV","NULL","NULL","0.4140943",NA
"214",84,"Lithuania",5,"FIN","NULL","NULL","0.1905673",NA
"215",84,"Lithuania",6,"ECON","NULL","NULL","0.039800763",NA
"216",84,"Lithuania",7,"EDUC","NULL","NULL","1.286452339",NA
"217",84,"Lithuania",8,"NULL","NULL","NULL","0.00103755",NA
"218",84,"Lithuania",10,"MoH","NULL","NULL","0.0113848",NA
"219",84,"Lithuania",11,"AGRI","NULL","NULL","0.00648235",NA
"220",84,"Lithuania",12,"INT","NULL","NULL","0.009473261",NA
"221",84,"Lithuania",13,"NULL","NULL","NULL","0.01000969",NA
"222",84,"Lithuania",20,"NULL","NULL","NULL","0.00818499",NA
"223",84,"Lithuania",30,"NULL","NULL","NULL","0.02204086",NA
"224",22,"Luxembourg",2,"MFA","MFA","Ministry of Foreign Affairs","304.5438943",122.120334827
"225",7,"Netherlands",1,"MFA","MFA","Ministry of Foreign Affairs (DGIS)","4180.104554",1531.930095081
"226",7,"Netherlands",33,"NCM","Atradius","Atradius","NULL",NA
"227",820,"New Zealand",1,"NZG","NZG","Ministry of Foreign Affairs and Trade","389.8157323",90.074824765
"228",820,"New Zealand",99,"MISC","MISC","Miscellaneous","20.8741425",4.322547581
"229",104,"Nordic Development Fund [NDF]",1,"NDF","NULL","NULL","49.600566",NA
"230",8,"Norway",1,"NORAD","NORAD","Norwegian Agency for Development Co-operation","848.197092",29.901911208
"231",8,"Norway",4,"MFA","MFA","Ministry of Foreign Affairs","2908.857452",1242.510958796
"232",8,"Norway",7,"IN","IN","Innovation Norway","0.601565",NA
"233",8,"Norway",8,"NORFUND","NORFUND","NORFUND","520.0596424",NA
"234",8,"Norway",9,"FK","FK","FK Norway","34.08315167",NA
"235",8,"Norway",10,"OAG","OAG","Office of the Auditor General","1.9912031",NA
"236",8,"Norway",11,"DEF","DEF","Ministry of Defence","4.031213",NA
